date,open,high,low,close,volume
2020-07-27,308.155,312.27,307.485,312.215,132194
2020-07-28,310.97,312.11,306.32,307.625,36582
2020-07-29,308.985,311.085,307.555,308.41,45888
2020-07-30,306.275,312.93,306.275,312.0,81988
2020-07-31,314.14,318.3,311.485,316.45,83023
2020-08-03,318.08,323.375,317.36,320.85,48842
2020-08-04,320.71,328.39,320.6,328.16,104654
2020-08-05,328.58,331.49,325.88,329.3,57227
2020-08-06,327.83,330.69,325.64,329.19,31999
2020-08-07,328.2,329.7,321.74,325.73,53955
2020-08-10,324.82,329.15,324.355,327.37,46140
2020-08-11,328.24,333.14,322.875,324.2,42599
2020-08-12,325.69,335.86,325.69,333.51,33791
2020-08-13,331.515,332.745,327.98,329.6,33302
2020-08-14,329.3,329.675,326.15,327.48,23241
2020-08-17,329.13,331.58,329.13,330.12,21055
2020-08-18,331.955,333.055,328.19,328.53,26452
2020-08-19,330.445,333.0,328.28,329.285,17212
2020-08-20,327.5,329.92,326.355,328.85,20768
2020-08-21,327.855,330.45,325.53,330.33,17825
2020-08-24,332.29,335.835,331.33,333.71,30410
2020-08-25,334.305,336.73,333.06,336.045,35626
2020-08-26,335.37,341.3,333.75,339.78,30826
2020-08-27,340.51,340.97,336.51,339.19,24909
2020-08-28,339.465,344.72,337.72,344.68,17301
2020-08-31,346.23,349.515,344.31,347.14,60988
2020-09-01,348.725,361.98,347.67,359.48,99554
2020-09-02,364.61,378.885,363.82,375.23,141281
2020-09-03,368.0,368.0,350.295,352.73,98457
2020-09-04,361.73,372.065,353.53,363.335,200670
2020-09-08,352.18,362.635,350.17,350.7,90359
2020-09-09,356.36,361.78,351.83,359.94,43570
2020-09-10,362.765,367.58,355.09,357.03,55539
2020-09-11,360.01,364.15,354.805,359.94,39053
2020-09-14,364.6,365.24,359.79,362.54,55333
2020-09-15,365.79,370.94,365.415,367.39,55585
2020-09-16,368.275,371.89,366.35,367.07,116775
2020-09-17,355.48,370.115,355.12,365.8,57189
2020-09-18,367.56,367.56,355.6,359.33,52851
2020-09-21,350.02,351.86,343.88,351.86,63742
2020-09-22,355.43,361.7,353.04,361.63,35312
2020-09-23,360.165,360.95,350.14,351.47,32669
2020-09-24,349.96,357.35,349.96,352.36,49554
2020-09-25,352.245,357.665,348.67,356.55,145549
2020-09-28,361.595,368.375,359.345,366.99,66996
2020-09-29,367.655,370.625,364.22,364.22,40192
2020-09-30,363.35,370.98,362.0,364.47,47878
2020-10-01,368.77,370.28,364.99,368.67,104944
2020-10-02,360.37,364.63,356.36,356.63,76426
2020-10-05,360.88,366.83,360.105,365.98,85629
2020-10-06,365.85,371.76,362.23,364.4,47710
2020-10-07,368.1,369.34,366.06,366.85,85858
2020-10-08,368.99,374.27,368.49,373.56,73628
2020-10-09,375.93,379.98,374.39,376.535,90917
2020-10-12,381.79,384.91,380.01,382.63,123995
2020-10-13,384.41,387.24,378.73,381.52,166898
2020-10-14,383.735,383.735,377.96,380.18,123448
2020-10-15,375.6,380.385,375.06,379.905,103642
2020-10-16,383.115,383.16,378.23,378.41,59306
2020-10-19,381.24,383.58,375.15,375.52,77244
2020-10-20,377.39,380.97,375.56,377.25,113629
2020-10-21,376.355,376.86,370.8,372.06,88548
2020-10-22,371.075,374.24,367.5,373.25,103982
2020-10-23,373.83,373.83,370.76,372.45,51433
2020-10-26,368.61,369.955,357.76,362.98,87577
2020-10-27,364.865,365.04,359.31,359.42,49497
2020-10-28,353.99,354.45,345.53,346.84,139052
2020-10-29,347.39,359.19,346.415,354.6,84869
2020-10-30,349.4,352.99,344.58,350.12,80252
2020-11-02,352.64,354.765,348.5,350.97,28667
2020-11-03,355.67,359.115,352.93,353.15,85269
2020-11-04,360.225,368.87,357.85,364.42,74135
2020-11-05,372.96,382.47,372.76,380.965,124378
2020-11-06,380.05,383.615,377.705,380.26,54077
2020-11-09,389.56,393.59,375.35,375.58,171126
2020-11-10,370.4,372.75,360.93,363.55,226138
2020-11-11,369.98,377.01,369.42,375.52,139646
2020-11-12,376.7,378.155,368.55,369.7,40466
2020-11-13,374.8,377.065,372.035,373.59,26683
2020-11-16,376.455,381.27,374.4,381.27,38090
2020-11-17,378.25,382.315,377.33,380.82,48810
2020-11-18,380.045,384.825,380.045,381.21,59892
2020-11-19,378.64,384.43,374.375,384.34,71578
2020-11-20,384.67,388.785,383.16,383.16,47893
2020-11-23,384.85,389.0,383.37,386.9,83416
2020-11-24,388.62,392.54,386.47,392.06,44054
2020-11-25,393.07,394.79,389.11,391.12,31437
2020-11-27,394.01,399.06,393.59,395.03,33461
2020-11-30,394.51,401.5,393.225,401.43,33263
2020-12-01,402.7,406.57,400.29,404.44,59243
2020-12-02,404.37,405.055,401.435,403.475,35869
2020-12-03,404.115,406.35,399.06,400.11,124895
2020-12-04,402.4,412.3,402.4,411.61,93076
2020-12-07,415.17,422.65,413.56,421.13,105727
2020-12-08,420.685,426.66,418.355,422.99,114456
2020-12-09,419.75,425.91,413.75,416.62,68602
2020-12-10,410.99,415.13,408.69,409.56,158917
2020-12-11,404.0,406.83,398.28,405.21,134075
2020-12-14,407.35,414.3,407.09,411.74,120371
2020-12-15,415.98,419.275,413.1,418.19,107890
2020-12-16,417.93,427.08,417.28,425.28,114801
2020-12-17,427.0,429.94,424.87,425.995,91580
2020-12-18,424.15,435.55,422.15,435.55,128089
2020-12-21,428.15,431.55,424.2,429.2,82774
2020-12-22,428.45,433.5,428.42,433.46,70764
2020-12-23,434.265,435.0,425.08,425.08,59960
2020-12-24,427.875,431.35,427.57,431.32,17972
2020-12-28,436.57,436.57,431.18,432.35,51742
2020-12-29,435.01,435.01,427.13,429.13,41235
2020-12-30,432.275,437.96,430.36,434.61,54548
2020-12-31,436.375,438.31,433.5,438.31,31305
2021-01-04,439.33,442.22,421.43,424.86,125312
2021-01-05,426.7,428.765,422.47,428.04,57405
2021-01-06,424.79,434.535,420.76,425.9,98979
2021-01-07,432.005,444.41,430.66,443.255,96160
2021-01-08,446.98,449.94,438.81,445.92,77372
2021-01-11,441.75,448.78,441.75,445.93,47586
2021-01-12,447.1,454.745,445.6,449.54,119080
2021-01-13,449.55,453.39,448.285,451.25,54138
2021-01-14,453.39,458.33,451.8,451.875,66508
2021-01-15,448.08,449.695,440.8,446.21,87793
2021-01-19,450.25,459.38,449.44,459.34,68681
2021-01-20,459.18,465.5,455.465,462.33,75650
2021-01-21,461.66,469.415,460.535,467.11,80488
2021-01-22,464.27,467.5,462.64,464.61,102866
2021-01-25,469.99,469.99,456.495,465.145,50359
2021-01-26,463.41,466.95,462.16,463.91,100332
2021-01-27,455.735,456.49,441.72,444.62,130986
2021-01-28,454.29,458.46,447.05,451.74,105342
2021-01-29,450.045,457.74,448.0,450.14,121087
2021-02-01,455.015,469.24,454.04,466.77,75508
2021-02-02,469.76,476.95,468.63,476.7,82713
2021-02-03,476.99,477.29,464.6,465.18,61509
2021-02-04,461.4,471.05,457.51,471.05,85612
2021-02-05,473.95,476.78,465.76,466.225,70562
2021-02-08,468.82,473.04,465.94,473.04,104091
2021-02-09,472.94,475.09,469.68,474.67,89346
2021-02-10,477.24,477.29,466.92,469.58,65687
2021-02-11,472.285,479.035,469.65,479.035,125934
2021-02-12,477.795,486.6,476.325,486.49,83688
2021-02-16,489.59,494.61,487.02,489.09,120372
2021-02-17,483.91,485.89,475.11,482.97,107404
2021-02-18,480.02,485.32,475.29,482.97,91182
2021-02-19,488.175,494.83,487.1,489.93,70418
2021-02-22,484.0,486.315,475.38,476.52,87348
2021-02-23,471.595,474.52,456.13,471.72,121212
2021-02-24,467.01,481.18,463.07,481.18,79946
2021-02-25,473.71,479.375,455.43,457.375,108696
2021-02-26,467.73,475.59,460.77,470.24,107460
2021-03-01,478.18,489.85,474.1,489.71,133468
2021-03-02,490.43,490.43,479.65,479.79,104054
2021-03-03,477.81,481.18,462.465,462.465,110463
2021-03-04,462.14,466.16,441.75,443.22,201120
2021-03-05,454.25,454.7,433.3,449.96,240670
2021-03-08,447.7,447.79,419.44,420.21,218358
2021-03-09,435.69,446.81,431.04,443.555,149532
2021-03-10,448.0,453.61,435.52,437.28,114058
2021-03-11,448.68,457.32,442.175,453.65,145397
2021-03-12,445.43,453.21,445.43,450.99,149395
2021-03-15,454.87,471.07,453.57,470.64,160786
2021-03-16,471.53,483.78,467.98,478.27,174617
2021-03-17,471.99,487.11,470.17,483.46,105351
2021-03-18,473.19,483.35,463.77,463.77,201380
2021-03-19,458.38,476.67,454.74,474.57,304621
2021-03-22,473.565,481.15,472.19,475.29,157451
2021-03-23,473.59,474.87,462.84,463.77,129813
2021-03-24,469.45,469.99,457.41,457.41,148489
2021-03-25,454.49,463.74,449.31,462.065,81636
2021-03-26,458.0,482.79,457.14,482.75,97472
2021-03-29,480.5,480.51,468.73,472.44,101600
2021-03-30,463.45,463.5,451.97,456.37,185399
2021-03-31,459.25,466.98,452.4,464.13,161382
2021-04-01,471.6,476.49,469.58,475.93,145975
2021-04-05,479.91,489.63,477.72,488.45,119715
2021-04-06,483.115,488.21,478.01,483.995,109160
2021-04-07,480.23,483.7,478.16,482.02,88561
2021-04-08,486.51,487.02,480.23,485.89,115276
2021-04-09,480.54,485.28,476.64,484.89,86352
2021-04-12,481.89,485.05,478.91,483.8,76473
2021-04-13,485.17,487.56,480.57,485.17,52911
2021-04-14,483.36,489.19,475.35,477.5,108922
2021-04-15,481.545,482.215,477.12,479.98,138253
2021-04-16,480.24,481.615,476.97,478.99,75239
2021-04-19,475.73,475.73,460.1,462.0,150798
2021-04-20,460.5,461.79,454.75,457.18,107620
2021-04-21,456.7,459.98,452.7,459.98,112520
2021-04-22,455.48,461.02,449.12,454.79,147762
2021-04-23,457.75,467.83,457.75,466.08,97974
2021-04-26,465.95,473.705,464.07,471.91,104211
2021-04-27,473.82,474.26,465.1,466.36,75810
2021-04-28,465.19,465.25,456.13,458.835,127971
2021-04-29,467.89,467.89,459.3,466.52,90119
2021-04-30,459.54,460.68,453.94,456.23,92047
2021-05-03,457.93,458.66,448.48,449.98,89495
2021-05-04,446.215,446.215,437.57,444.83,162538
2021-05-05,449.59,451.14,442.56,444.06,94579
2021-05-06,441.75,449.02,439.84,448.75,86003
2021-05-07,454.45,458.25,449.78,452.32,72433
2021-05-10,448.41,448.41,435.77,436.09,105752
2021-05-11,425.62,441.69,423.25,440.57,97305
2021-05-12,429.7,429.7,419.31,422.22,225574
2021-05-13,429.21,434.735,425.84,430.23,134492
2021-05-14,435.85,445.04,432.36,441.15,104625
2021-05-17,441.69,441.93,433.04,439.73,61504
2021-05-18,443.285,443.59,433.39,433.42,69228
2021-05-19,426.85,442.17,425.88,441.795,130469
2021-05-20,445.59,459.18,445.59,455.09,124514
2021-05-21,457.65,457.65,449.51,451.01,61026
2021-05-24,456.92,462.38,456.615,459.08,67741
2021-05-25,462.41,462.9,456.58,459.71,50280
2021-05-26,461.37,461.94,455.595,460.77,54207
2021-05-27,460.18,468.39,459.88,468.0,95721
2021-05-28,469.24,474.55,467.72,472.53,85309
2021-06-01,475.525,477.515,467.685,468.08,80233
2021-06-02,470.68,477.51,470.38,474.17,83011
2021-06-03,468.88,469.75,463.26,464.885,132088
2021-06-04,470.43,478.23,469.845,475.01,154393
2021-06-07,474.37,474.37,462.56,463.8,111359
2021-06-08,468.06,472.39,463.51,463.51,119006
2021-06-09,464.76,466.0,462.09,464.02,67464
2021-06-10,463.67,469.37,460.4,468.8,67077
2021-06-11,469.0,472.07,467.27,470.18,59800
2021-06-14,469.26,475.87,466.17,475.87,76922
2021-06-15,476.22,476.43,468.71,470.55,42588
2021-06-16,470.39,471.09,461.61,465.54,87871
2021-06-17,463.94,475.215,463.94,471.1,64584
2021-06-18,466.08,469.74,460.58,463.3,98533
2021-06-21,462.21,465.28,458.44,464.81,70997
2021-06-22,462.995,468.38,462.325,464.23,51710
2021-06-23,465.57,467.865,464.02,466.71,145754
2021-06-24,470.23,473.595,469.015,470.09,71462
2021-06-25,470.06,472.35,461.16,462.09,75933
2021-06-28,466.0,475.98,465.51,472.56,70215
2021-06-29,472.5,477.25,471.07,477.13,77372
2021-06-30,477.37,477.79,472.615,476.86,96186
2021-07-01,475.7,475.7,468.935,469.56,61236
2021-07-02,475.73,478.415,456.805,468.28,149563
2021-07-06,470.37,476.75,468.53,473.17,72233
2021-07-07,474.74,474.74,466.59,469.47,72161
2021-07-08,464.5,470.865,461.575,470.72,66729
2021-07-09,469.03,480.81,468.48,480.19,83000
2021-07-12,482.66,493.67,473.31,485.7,178429
2021-07-13,485.4,487.46,482.19,484.1,40291
2021-07-14,489.535,491.69,480.87,481.02,63805
2021-07-15,481.92,482.58,473.18,477.44,63851
2021-07-16,479.06,479.77,467.29,468.24,73567
2021-07-19,463.11,465.94,457.68,465.93,87930
2021-07-20,466.03,472.14,463.41,468.53,76798
2021-07-21,470.16,479.22,468.64,479.22,56347
2021-07-22,476.2,478.93,474.51,476.4,60862
2021-07-23,478.41,483.51,477.08,483.23,70605
2021-07-26,481.455,483.56,479.68,482.32,49145
2021-07-27,480.76,480.84,467.94,475.18,68510
2021-07-28,477.16,479.08,474.57,477.86,26718
2021-07-29,478.75,485.67,477.64,484.0,39736
2021-07-30,482.24,486.095,479.97,485.44,44177
2021-08-02,488.3,494.28,483.7,484.86,55130
2021-08-03,486.2,487.605,480.06,486.91,37449
2021-08-04,488.265,489.27,484.02,487.98,57581
2021-08-05,489.48,489.98,485.31,487.91,37955
2021-08-06,486.61,487.93,484.095,485.63,34647
2021-08-09,486.44,486.44,481.31,484.52,19673
2021-08-10,486.12,486.36,478.39,482.26,44331
2021-08-11,484.94,485.67,480.27,483.3,31497
2021-08-12,480.6,484.9,477.0,483.62,62613
